"country","iso2c","year","GC.DOD.TOTL.GD.ZS","FS.AST.CGOV.GD.ZS","GC.BAL.CASH.GD.ZS","GC.REV.XGRT.GD.ZS","GC.XPN.TOTL.GD.ZS","GC.TAX.TOTL.GD.ZS","Rep_GC.DOD.TOTL.GD.ZS","Rep_FS.AST.CGOV.GD.ZS","Rep_GC.BAL.CASH.GD.ZS","Rep_GC.REV.XGRT.GD.ZS","Rep_GC.XPN.TOTL.GD.ZS","Rep_GC.TAX.TOTL.GD.ZS"
"Andorra","AD",1990,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1991,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1992,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1993,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1994,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1995,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1996,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1997,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1998,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",1999,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2000,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2001,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2002,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2003,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2004,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2005,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2006,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2007,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2008,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2009,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2010,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2011,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Andorra","AD",2012,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Argentina","AR",1990,NA,15.7816083413167,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1991,NA,9.76959364520442,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1992,NA,6.54391572621758,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1993,NA,7.07088724850569,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1994,NA,3.43479749694076,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1995,NA,4.700062427774,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1996,NA,4.86072394923936,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1997,NA,5.11969939806281,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1998,NA,5.20513909499748,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",1999,NA,6.08081081437364,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2000,NA,5.83974604846196,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2001,NA,10.5795417691742,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2002,NA,35.7748658875324,-4.71064389170117,11.6035856639467,16.243873742479,8.10573443453562,0,1,1,1,1,1
"Argentina","AR",2003,NA,32.1983803913171,-2.33569644944156,14.198676937406,16.3760661221964,10.3344877206455,0,1,1,1,1,1
"Argentina","AR",2004,NA,28.6983577086384,-0.385026301859219,15.1509250404156,15.2790906823587,11.8608646591745,0,1,1,1,1,1
"Argentina","AR",2005,NA,21.5810388065107,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2006,NA,14.1267330347192,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2007,NA,10.8040034675412,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2008,NA,8.34541015897853,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2009,NA,11.1921379013924,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2010,NA,11.0344980734352,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2011,NA,11.0211720092739,NA,NA,NA,NA,0,1,0,0,0,0
"Argentina","AR",2012,NA,13.6564545362406,NA,NA,NA,NA,0,1,0,0,0,0
"Aruba","AW",1990,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aruba","AW",1991,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aruba","AW",1992,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aruba","AW",1993,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aruba","AW",1994,NA,-1.74964300713986,NA,NA,NA,NA,0,1,0,0,0,0
"Aruba","AW",1995,NA,-3.63997461928934,NA,NA,NA,NA,0,1,0,0,0,0
"Aruba","AW",1996,NA,-2.00202429149798,NA,NA,NA,NA,0,1,0,0,0,0
